well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_thickness_m,formation_top_tvd,formation_base_tvd
EVD-01,136997.0,441189.0,1859.49202541,9.09240392929743,133.971649,2.664982,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1859.39355541,8.659416522644852,134.38327,2.654986,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1859.29508541,8.22227731753139,132.20752,2.644994,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1859.19661541,7.788055038947091,124.465179,2.634906,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1859.09814541,7.366498726142652,111.87999,2.627269,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.99967541,6.924859464584673,96.478699,2.626417,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.90120541,6.487969275586757,80.286331,2.632565,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.80273541,6.1170124437085,66.232452,2.642315,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.70426541,5.818334605145887,55.544022,2.652485,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.60579541,5.687828678325019,48.206848,2.66164,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.50732541,5.739711604215449,42.77597,2.669318,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.4088554100001,5.92183451458795,39.755157,2.673566,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.31038541,6.313424513449607,38.505486,2.672051,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.21191541,7.013696202185157,37.566582,2.664149,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.11344541,7.940918651548679,36.847664,2.65387,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1858.01497541,8.532509364239708,36.288956,2.649852,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.9165054100001,8.36189489694303,35.774879,2.656878,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.81803541,7.595048415727573,35.273003,2.670783,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.71956541,6.408095731163533,34.810005,2.68469,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.62109541,5.047431475470788,34.428139,2.696392,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.52262541,3.9132161113968387,34.195854,2.705086,76.83899999999994,1782.7512,1859.5901999999999
EVD-01,136997.0,441189.0,1857.4241554100001,3.0785570515688683,34.139435,2.709484,76.83899999999994,1782.7512,1859.5901999999999
